PMF_PLACE,LONG,LAT,ADDR,EMR,CLINIC
PORT ALBERNI,-124.7999858,49.2543007,4485 ROGER STREET,Osler,DR MAGDY FOUAD MEDICAL
KELOWNA,-119.4908762,49.8725258,2311 PANDOSY STREET,Accuro,NA
CUMBERLAND,-125.0255737,49.6191113,2765 DUNSMUIR AVE PO BOX 719,Osler,DUNSMUIR MEDICAL CLINIC
CAMPBELL RIVER,-125.2370109,50.0100269,142 THULIN STREET,Launchpad,OCEAN GROVE MIDWIFERY
TOFINO,-125.9072416,49.151284,PO BOX 189 - 220 1ST STREET,Wolf,TONQUIN MEDICAL CLINIC
PORT ALBERNI,-124.7988067,49.2462943,3 - 3855 9TH AVENUE,Osler,NA
BURNABY,-122.9946217,49.2255665,201 - 6411 NELSON AVENUE,Wolf,NA
SURREY,-122.7303855,49.1025534,102 - 17770 56TH AVENUE,Launchpad,CLOVER CARE MEDICAL CLINIC
FORT LANGLEY,-122.5818142,49.1687943,PO BOX 99 - 23148 96TH AVENUE,IntraHealth,FORT LANGLEY FAMILY PRACTICE
VICTORIA,-123.3639443,48.4268522,713 JOHNSTON STREET,Wolf,COOL AID COMMUNITY HEALTH
BURNABY,-123.0056317,49.231305,11 - 4429 KINGSWAY,MedAccess,OLD ORCHARD MEDICAL CLINIC
VICTORIA,-123.3491162,48.415768,1282 FAIRFIELD ROAD,IntraHealth,MOSS ROCK MEDICAL CENTRE
NANAIMO,-123.9424186,49.1688971,340 CAMPBELL STREET,IntraHealth,CALEDONIAN CLINIC
PRINCE GEORGE,-122.7658118,53.9152453,208 - 2155 10TH AVENUE,MOIS,NA
SURREY,-122.8014605,49.0372746,201 - 1959 152ND STREET,Accuro,NA
NANAIMO,-123.9604033,49.187537,101 - 1650 TERMINAL AVENUE,Accuro,OCEANVIEW PEDIATRIC CONSULTANTS
VICTORIA,-123.3661099,48.4315775,605 DISCOVERY STREET,Accuro,CBI HEALTH CENTRE
FRASER LAKE,-124.8494461,54.0588926,PO BOX 1000 - 130 CHOWSUNKET STREET,NH MOIS,NA
VICTORIA,-123.3656136,48.4390321,301 - 740 HILLSIDE AVENUE,iClinic,WESTERN CARDIOLOGY
VICTORIA,-123.3843917,48.4904198,220 - 4460 CHATTERTON WAY,Wolf,NA
MISSION,-122.3315008,49.1342522,32243 HURD STREET,Wolf,THE MISSION MEDICAL GROUP
VICTORIA,-123.3337925,48.4449543,310 - 1641 HILLSIDE AVENUE,MedAccess,LANSDOWNE FAMILY PRACTICE
RICHMOND,-123.1565066,49.1549014,150 - 6180 BLUNDELL ROAD,Launchpad,NA
LADYSMITH,-123.8275181,48.99582,1111 4TH AVENUE,Wolf,LADYSMITH FAMILY PRACTICE
PARKSVILLE,-124.3151253,49.3196578,PO BOX 250 - 154 WEST MEMORIAL AVE,MedAccess,PARKSVILLE MEDICAL CLINIC
CAMPBELL RIVER,-125.243085,50.0113996,360 2ND AVENUE,Oscar West,HILLSIDE MEDICAL
VICTORIA,-123.3491162,48.415768,1284 FAIRFIELD ROAD,Wolf,SITKA HEALTH CENTRE
VERNON,-119.2749533,50.260264,301 - 3210 25TH AVENUE,Osler,NA
VICTORIA,-123.4252728,48.4731157,1506 BURNSIDE ROAD WEST,Oscar Nerd,ROUNDHOUSE MIDWIVES
VANCOUVER,-123.1289966,49.2805979,B180 - 1081 BURRARD STREET,Launchpad,HEALTHY HEART PROGRAM PREVENTION CLINIC
VANCOUVER,-123.2442035,49.2648819,G285 - 2211 WESBROOK MALL,Launchpad,SLEEP DISORDER CLINIC
LAKE COWICHAN,-124.0572307,48.8233763,301 - 138 SOUTH SHORE ROAD,MedAccess,PO BOX 1219
SURREY,-122.8428948,49.1745321,320 - 13710 94A AVENUE,Accuro,NA
KELOWNA,-119.4897743,49.8575331,102 - 3320 RICHTER STREET,Launchpad,MISSION MEDICAL CENTRE
VANCOUVER,-123.1262048,49.2455931,ROOM 1C30 - 4480 OAK STREET,Launchpad,NA
DUNCAN,-123.7081361,48.7857933,201 - 2763 BEVERLEY STREET,MedAccess,BEVERLEY CLINIC
NANAIMO,-124.0256115,49.2345195,6010 BRICKYARD RD,Intrahealth,CALEDONIAN MEDICAL CLINIC
ALERT BAY,-126.9430677,50.5941432,PO BOX 290 48 SCHOOL ROAD,Launchpad,NAMGIS HEALTH CENTRE
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 9TH FLR,iClinic,NA
VANCOUVER,-123.0974239,49.2782674,165 - 288 EAST GEORGIA STREET,Wolf,CHINATOWN CENTRE MEDICAL CLINIC
VICTORIA,-123.3661201,48.431871,601A DISCOVERY STREET,Oscar,VICTORIA LIPID CLINIC
COQUITLAM,-122.7950209,49.2769273,56 - 2991 LOUGHEED HIGHWAY,Oscar Nerd,ABLE-CARE MEDICAL CLINIC
FERNIE,-115.0617743,49.5081052,PO BOX 2019 - 901 5TH AVENUE,Intrahealth,ROCKY MOUNTAIN HEALTH CENTRE
VANCOUVER,-123.1285124,49.2856676,1233 HARO STREET,Launchpad,HARO PARK CENTRE
NORTH VANCOUVER,-123.0725123,49.3184531,300 - 1133 LONSDALE AVENUE,IntraHealth,NA
SIDNEY,-123.3951309,48.6488307,207 - 2537 BEACON AVENUE,Oscar,OCEAN PIER MEDICAL CENTRE
VANCOUVER,-123.1267045,49.2448408,RM 1T10 4500 OAK STREET,Launchpad,BC WOMENS HOSPITAL MATERNAL FETAL MEDICINE
VANCOUVER,-123.1259148,49.2611413,4219 - 2775 LAUREL STREET,Plexia,NA
BURNABY,-122.8981429,49.2526712,240 - 9600 CAMERON STREET,Oscar,NA
COMOX,-124.9333003,49.689034,107C - 1966 GUTHRIE ROAD,Oscar Nerd,HIGHLAND MEDICAL
VICTORIA,-123.3337925,48.4449543,135 - 3066 SHELBOURNE STREET,MedAccess,NA
COURTENAY,-124.9969041,49.6885853,UNIT E - 310 8TH STREET,IntraHealth,WASHINGTON PARK CLINIC
GALIANO,-123.3207873,48.8714769,SITE 4 C19 RR1 - 908 BURRILL ROAD,Wolf,GALIANO HEALTH CARE CENTRE
VICTORIA,-123.3228272,48.4324038,203 - 1990 FORT STREET,Accuro,NA
HOUSTON,-126.6524369,54.3961409,PO BOX 538,NH MOIS,PRIMARY CARE CLINIC
NANAIMO,-123.9655628,49.186782,1675 GRANT AVENUE,Launchpad,NANAIMO PUBLIC HEALTH UNIT
VANCOUVER,-123.1249085,49.2800387,300 808 NELSON ST,IntraHealth,COPEMAN HEALTHCARE CENTRE
FERNIE,-115.0623902,49.5022032,PO BOX 820,Intrahealth,SPARLING EAST MEDICAL CLINIC
CHEMAINUS,-123.7163167,48.9262953,9892 ESPLANADE STREET,MedAccess,CHEMAINUS MEDICAL CLINIC
COURTENAY,-124.9944659,49.6860442,201 - 1350 ENGLAND AVENUE,IntraHealth,COURTENAY MEDICAL ASSOCIATES
DUNCAN,-123.7102883,48.7790178,100-190 INGRAM STREET,Accuro,THE MEDICAL SPECIALISTS CLINIC
DELTA,-123.0799188,49.0901877,5132 LADNER TRUNK ROAD,Wolf,LADNER CENTRE MEDICAL
BURNABY,-123.0167063,49.2330893,104 - 3965 KINGSWAY,Wolf,CENTRAL PARK MEDICAL CLINIC
VANCOUVER,-123.1222338,49.2637904,1605 - 805 WEST BROADWAY,Osler,NA
VICTORIA,-123.3337925,48.4449543,260 - 1641 HILLSIDE AVENUE,Osler,NA
VANCOUVER,-123.1353675,49.2636063,300 - 1367 WEST BROADWAY,IDEAS,NA
VANCOUVER,-123.1210594,49.2630115,1314 - 750 WEST BROADWAY,Osler,NA
VICTORIA,-123.3661099,48.4315775,605 DISCOVERY STREET,Accuro,CBI HEALTH CENTRE - VICTORIA
LANGLEY,-122.6502877,49.1079098,101 - 5796 GLOVER ROAD,MedAccess,GLOVER MEDICAL CLINIC
CAMPBELL RIVER,-125.2399867,50.0232284,101 - 901 ISLAND HWY,Oscar West,NA
VICTORIA,-123.3337976,48.4484534,150 - 3200 SHELBOURNE STREET,Launchpad,NA
VANCOUVER,-123.1267045,49.2448408,C234 - 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
VANCOUVER,-123.0892023,49.2818291,201 - 330 HEATLEY AVENUE,Launchpad,STATHCONA MENTAL HEALTH
DUNCAN,-123.7098645,48.7782337,186 KENNETH STREET,MedAccess,COLEMAN CLINIC
ABBOTSFORD,-122.3246453,49.0539612,102 - 2845 CRUICKSHANK STREET,IntraHealth,NA
COQUITLAM,-122.7954894,49.2834727,102 - 1173 THE HIGH STREET,MedAccess,EAGLE RIDGE MEDICAL CLINIC
SURREY,-122.8804774,49.0532438,100 - 12321 BEECHER STREET,IntraHealth,NA
VERNON,-119.274674,50.2637965,200 - 3207 30TH AVENUE,Osler,NA
RICHMOND,-123.1482094,49.1692939,720 - 6091 GILBERT ROAD,Launchpad,NA
SURREY,-122.8942151,49.1635909,403 - 11861 88TH AVENUE,Plexia,NA
SURREY,-122.8293453,49.1156282,106-14199-62 AVE,Intrahealth,NA
ABBOTSFORD,-122.3049948,49.0456959,2415 WARE STREET,Oscar,NA
VANCOUVER,-123.2441311,49.264794,3500 - 2215 WESBROOK MALL,Plexia,CENTRE FOR BRAIN HEALTH
NANAIMO,-123.9809177,49.1836371,205 - 1808 BOWEN ROAD,Intrahealth,LEXITOR MEDICAL CLINIC
BRENTWOOD BAY,-123.4473827,48.5770682,C1 - 7159 WEST SAANICH RD,Launchpad,DANDELION MIDWIFERY
VANCOUVER,-123.1259148,49.2611413,9TH FL - 2775 LAUREL STREET,iClinic,DIAMOND HEALTH CARE CENTRE
SURREY,-122.7977121,49.1931735,10 - 15300 105TH AVENUE,Osler,NA
VICTORIA,-123.3524606,48.4254293,405-1120 YATES ST,Plexia,NA
VANCOUVER,-123.2442035,49.2648819,M334 - 2211 WESBROOK MALL,InputHealth,UBC STUDENT HEALTH SERVICES
SURREY,-122.8428948,49.1745321,210 - 13710 94A AVENUE,Plexia,SURREY RESPIROLOGY
SALMON ARM,-119.2872144,50.6991432,PO BOX 1870,MedAccess,MOUNT IDA MEDICAL CLINIC
DUNCAN,-123.7091737,48.7840313,UNIT A - 921 CANADA AVENUE,MedAccess,SOMENOS MEDICAL CLINIC
VICTORIA,-123.3302199,48.4305343,202-2020 RICHMOND RD,Accuro,NA
NANAIMO,-123.968844,49.1848149,1665 GRANT AVENUE,Launchpad,VANCOUVER ISLAND HEALTH AUTHORITY NANAIMO HLTH
COMOX,-124.9632684,49.6896559,2450 BACK ROAD,Launchpad,NA
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 6TH FLR,Accuro,DIAMOND HEALTH CARE CENTRE
VICTORIA,-123.3639443,48.4268522,713 JOHNSTON STREET,Wolf,COOL AID COMMUNITY HEALTH
COMOX,-124.8841069,49.6847905,760 RADFORD ROAD,Oscar,PLUM MIDWIFERY
NANAIMO,-123.9618898,49.1852149,201 -1450 WADDINGTON ROAD,Accuro,NA
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
KELOWNA,-119.4930484,49.890011,204 - 1353 ELLIS STREET,Osler,NA
SECHELT,-123.7568067,49.4766821,103 5631 INLET AVENUE,Plexia,BOX 799
VANCOUVER,-123.1281537,49.2793415,590 - 1144 BURRARD STREET,Accuro,BURRARD ORTHOPAEDIC CLINIC
VANCOUVER,-123.1293008,49.2785704,406 - 1200 BURRARD STREET,Plexia,NA
NORTH VANCOUVER,-123.0728972,49.3182724,102 - 1111 LONSDALE AVENUE,Launchpad,NORTH SHORE EYE ASSOCIATES
VANCOUVER,-123.040184,49.2190888,350 - 3150 EAST 54TH AVENUE,Oscar West,COLLINGWOOD MEDICAL
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 6TH FLR,Accuro,DIAMOND HEALTH CARE CTR DEPT OF UROLOGY
KELOWNA,-119.4890486,49.8404945,3970 LAKESHORE ROAD,Osler,LAKESHORE MEDICAL CLINIC
VANCOUVER,-123.1267045,49.2448408,C234 - 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
VERNON,-119.2755119,50.2597293,205 - 3301 24TH AVENUE,Accuro,NA
VICTORIA,-123.3647222,48.4283334,PO BOX 5604,Osler,NA
NANAIMO,-123.9415787,49.1643425,105 - 360 SELBY ST,Oscar Host,SUNFLOWER MIDWIFE SERVICE
PENTICTON,-119.5797057,49.4730051,146 DAWSON AVENUE,MedAccess,NA
NANAIMO,-123.9345877,49.1606966,200 - 55  VICTORIA ROAD,Launchpad,VICTORIA ROAD CLINIC
VICTORIA,-123.3524606,48.4254293,304 - 1120 YATES STREET,MedAccess,NA
NANAIMO,-123.9439826,49.1685487,512 CAMPBELL STREET,Launchpad,TOWNSITE MEDICAL CLINIC
CHILLIWACK,-121.9591197,49.1692838,402 - 9200 MARY STREET,Plexia,NA
VICTORIA,-123.3712656,48.4167534,547 MICHIGAN STREET,Oscar,CO-OP COMMUNITY HEALTH AT JAMES BAY
MAPLE RIDGE,-122.6032284,49.2175021,22338 SELKIRK AVENUE,Accuro,NA
VANCOUVER,-123.1289966,49.2805979,B180 - 1081 BURRARD STREET,Launchpad,HEALTHY HEART PROGRAM PREVENTION CLINIC
NAKUSP,-117.7979456,50.2383921,PO BOX 159 - 84 BROADWAY,Wolf,SADDLE MOUNTAIN MEDICAL CLINIC
KAMLOOPS,-120.3198926,50.6747136,851 SEYMOUR STREET,MOIS,THOMPSON RIVERS MEDICAL
VICTORIA,-123.3383175,48.4127734,16 ? 1594 FAIRFIELD RD,Osler,ROSS BAY HEALTH CENTRE
CAMPBELL RIVER,-125.1285261,49.869549,2207 GLENMORE RD,Oscar,THE BRIDGE MEDICAL CLINIC
VICTORIA,-123.3328186,48.4685611,103 - 1595 MCKENZIE AVENUE,Launchpad,GORDON HEAD TREATMENT CENTRE
ABBOTSFORD,-122.3246453,49.0539612,102 - 2845 CRUICKSHANK STREET,IntraHealth,NA
WESTBANK,-119.6105515,49.8386561,107/108 - 3500 CARRINGTON ROAD,Oscar West,VINTAGE VIEW MEDICAL CLINIC
VICTORIA,-123.3533691,48.4239009,107 - 1175 COOK STREET,Launchpad,COOK ST MEDICAL CLINIC
VICTORIA,-123.3293646,48.4294305,1823 FORT STREET,MedAccess,JUBILEE CLINIC PHYSICIANS
PORT ALBERNI,-124.801326,49.2513001,4565 WALLACE STREET,Launchpad,NA
VICTORIA,-123.3337925,48.4449543,380 - 1641 HILLSIDE AVENUE,Plexia,NA
CAMPBELL RIVER,-125.2587844,50.0333382,B - 1424 ISLAND HIGHWAY,Oscar West,RIVER CITY MEDICAL CLINIC
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 5TH FLR,Accuro,NA
VICTORIA,-123.3266597,48.4266748,1862 OAK BAY AVENUE,MedAccess,NA
NEW WESTMINSTER,-122.8923133,49.2252694,208 - 250 KEARY STREET,Accuro,NA
KELOWNA,-119.3974992,49.8913212,202 - 285 AURORA CRESCENT,IntraHealth,RUTLAND MEDICAL ASSOCIATES
QUATHIASKI COVE,-125.2103556,50.0418904,"672 PLAZA ROAD, PO BOX 250",Oscar Nerd,HARBOURSIDE MEDICAL
QUESNEL,-122.4977902,52.978123,348 FRONT STREET,Osler,HOLLEY CLINIC
VICTORIA,-123.3123953,48.4635137,PO BOX 1700 - STN CSC,Accuro,UNIVERSITY HEALTH SERV
BRENTWOOD BAY,-123.449952,48.5781126,7226 WEST SAANICH ROAD,Plexia,NA
VICTORIA,-123.382545,48.4866862,207 - 4400 CHATTERTON WAY,eIVF,VICTORIA FERTILITY CLINIC
COURTENAY,-124.9969041,49.6885853,UNIT E-310 8TH STREET,Intrahealth,VALLEY CARE MEDICAL
NANAIMO,-123.9774969,49.1812858,102 - 1629 TOWNSITE ROAD,Osler,NA
VICTORIA,-123.3337976,48.4484534,150 - 3200 SHELBOURNE STREET,Wolf,NA
VICTORIA,-123.334592,48.4267034,101 - 1640 OAK BAY AVENUE,MedAccess,NA
COURTENAY,-124.9944659,49.6860442,202 - 1350 ENGLAND AVENUE,IntraHealth,COURTENAY MEDICAL ASSOCIATES
VICTORIA,-123.3741351,48.4158506,100 - 230 MENZIES STREET,Launchpad,JAMES BAY TREATMENT CENTRE
SURREY,-122.7813232,49.1667441,4-9025 160 ST,IntraHealth,NA
VANCOUVER,-123.1259148,49.2611413,3RD FL - 2775 LAUREL STREET,Plexia,VGH COMPLEX JOINT RECONSTRUCTION CLINIC
VICTORIA,-123.3234804,48.4325466,326 - 1964 FORT STREET,Launchpad,NA
ABBOTSFORD,-122.2734308,49.057181,480 - 3033 IMMEL ROAD,Osler,NA
HOPE,-121.4398372,49.3814755,PO BOX 1000 - 735 4TH AVENUE,Wolf,HOPE MEDICAL CLINIC
KELOWNA,-119.4760365,49.8765707,1111 SPRINGFIELD ROAD,MedAccess,GROUP ONE MEDICAL
COMOX,-124.9261093,49.6730325,101B - 1771 COMOX AVENUE,IntraHealth,TOWN CIRCLE MEDICAL
CAMPBELL RIVER,-125.2402053,50.0236942,108 - 911 ISLAND HWY,Accuro,NA
LANGLEY,-122.6123667,49.0948791,22051 FRASER HIGHWAY,Accuro,LMH - PEDIATRICS
PORT HARDY,-127.5024595,50.7210678,"9140 GRANVILLE STREET, PO BOX 1619",Intrahealth,PRIMARY HEALTH CLINIC
VICTORIA,-123.3284932,48.426703,303C - 1830 OAK BAY AVENUE,Launchpad,NA
DUNCAN,-123.7108344,48.7795251,335 JUBILEE STREET,MedAccess,VALLEY MEDICAL CLINIC
DUNCAN,-123.7024269,48.7777405,341 FESTUBERT STREET,MOIS,NA
SALMON ARM,-119.2824431,50.7019232,PO BOX 32  302 - 320 ALEXANDER STREET,Wolf,MONTEBELLO MEDICAL CLINIC
NANAIMO,-123.9809177,49.1836371,205-1808 BOWEN ROAD,Intrahealth,LEXITOR MEDICAL CLINIC
PENTICTON,-119.5882759,49.483252,22 - 88 DUNCAN AVENUE WEST,MedAccess,NA
COMOX,-124.9255823,49.6718759,202-1757 BEAUFORT AVE,Oscar,WHITEWAVE MEDICAL
COURTENAY,-125.0007286,49.6923804,343 3RD STREET,Oscar,COMOX VALLEY MIDWIFERY BIRTH TIDES CLINIC
MILL BAY,-123.5585109,48.6513996,230 - 2720 MILL BAY ROAD,MedAccess,MILL BAY MEDICAL CLINIC
NORTH VANCOUVER,-123.0711585,49.3196664,405 - 125 EAST 13TH STREET,Plexia,NA
SALTSPRING ISLAND,-123.5104388,48.8633143,101 - 164 KINGS LANE,Oscar Nerd,KINGS LANE MEDICAL CLINIC
LANGLEY,-122.6114124,49.096327,303 - 22112 52ND AVENUE,IntraHealth,LANGLEY PRIMARY HEALTH
BURNABY,-122.9672993,49.2802732,6548 EAST HASTINGS STREET,Oscar,KENSINGTON MEDICAL CLINIC
WEST KELOWNA,-119.6157095,49.837098,105 - 2231 LOUIE DRIVE,Launchpad,WEST KELOWNA WALK-IN
SURREY,-122.7832354,49.0491833,101 - 15820 26TH AVENUE,Accuro,SERENO GYNECOLOGY
CRESTON,-116.5097194,49.0957617,PO BOX 1700,IntraHealth,203-1230 CANYON STREET
COMOX,-124.9007425,49.6837542,1 -1261 NOEL AVENUE,Plexia,NA
VANCOUVER,-123.1259148,49.2611413,3RD FL - 2775 LAUREL STREET,Plexia,NA
VANCOUVER,-123.1262048,49.2455931,K4 - 120 - 4480 OAK STREET,Launchpad,BCCH RHEUMATOLOGY CLINIC
NANAIMO,-123.9685084,49.18371,1165 DUFFERIN CRESCENT,Accuro,NANAIMO HOSPITAL
NORTH VANCOUVER,-123.0725123,49.3184531,300 - 1133 LONSDALE AVENUE,IntraHealth,NORTH SHORE MEDICAL GROUP
NANAIMO,-123.968844,49.1848149,1665 GRANT AVENUE,Launchpad,NANAIMO PUBLIC HEALTH UNIT
VICTORIA,-123.3536948,48.453768,3359 SALSBURY WAY,Launchpad,NA
NORTH VANCOUVER,-123.0708344,49.3217472,204 - 135 EAST 15TH STREET,Launchpad,NA
NORTH VANCOUVER,-123.0718632,49.3191811,401-1200 LONSDALE AVENUE,Plexia,NA
SURREY,-122.8894631,49.1325667,103 - 7130 120TH STREET,Launchpad,NA
COQUITLAM,-122.8566851,49.2348404,1301 LOUGHEED HWY,Wolf,GOOD HEALTH FAMILY MEDICINE
VANCOUVER,-123.1210594,49.2630115,1314 - 750 WEST BROADWAY,Osler,NA
KELOWNA,-119.491564,49.8673113,2606 PANDOSY STREET,iClinic,NA
MAYNE ISLAND,-123.2880882,48.8470799,201 - 526 FELIX JACK ROAD,Wolf,MAYNE ISLAND HEALTH CENTRE
CAMPBELL RIVER,-125.1286178,49.8698329,2207F GLENMORE ROAD,Oscar,BRIDGE MEDICAL CLINIC
OLIVER,-119.5546465,49.1803173,PO BOX 1708,MedAccess,NA
CHILLIWACK,-121.9599871,49.1681443,9146 MARY STREET,Oscar West,NA
PRINCE GEORGE,-122.7658118,53.9152453,407 - 2155 10TH AVENUE,MOIS,NA
RICHMOND,-123.0927618,49.1845133,180 - 11700 CAMBIE ROAD,Oscar Nerd,HEALTHVUE MEDICAL CLINIC - CAMBIE
VICTORIA,-123.3337925,48.4449543,215 - 3066 SHELBOURNE STREET,IntraHealth,DOCTORS MEDICAL CLINIC
VICTORIA,-123.3234804,48.4325466,206 - 1964 FORT STREET,Osler,NA
LANGLEY,-122.6114124,49.096327,302 - 22112 52ND AVENUE,Intrahealth,NA
NORTH VANCOUVER,-123.0711585,49.3196664,209 - 125 EAST 13TH STREET,Osler,NA
NANAIMO,-124.0235581,49.2260183,101 - 5281 RUTHERFORD ROAD,Plexia,NA
KAMLOOPS,-120.3337885,50.6716368,204 - 300 COLUMBIA STREET,MedAccess,NA
PARKSVILLE,-124.311055,49.3185591,PO BOX 1141 - 135 JENSEN AVENUE EAST,Launchpad,JENSEN MEDICAL CLINIC
PORT ALBERNI,-124.8107472,49.2607116,4711 ELIZABETH ST,Osler,NA
VANCOUVER,-123.090245,49.2303876,102 - 5990 FRASER STREET,MedAccess,NA
VANCOUVER,-123.155873,49.2363001,300 - 5511 WEST BOULEVARD,Launchpad,RAINBOW MEDICAL CLINIC
VANCOUVER,-123.1165019,49.2866059,800 - 900 WEST HASTINGS ST,Launchpad,MEDISYS HEALTH GROUP
VANCOUVER,-123.1249085,49.2800387,300 808 NELSON ST,IntraHealth,COPEMAN HEALTHCARE CENTRE
VANCOUVER,-123.1165444,49.262936,731 - 550 WEST BROADWAY,IntraHealth,HIGHROADS MEDICAL CLINIC
WHITE ROCK,-122.7945119,49.0295511,101 - 15451 RUSSELL AVENUE,IntraHealth,WHITE ROCK MEDICAL
ABBOTSFORD,-122.2946872,49.0409501,4 - 2151 MCCALLUM ROAD,EHR Plus,CANNON CLINIC
BURNABY,-123.0043494,49.2250085,410 - 4460 BERESFORD STREET,Plexia,NA
SAANICHTON,-123.4192059,48.5943014,204 - 1931 MT NEWTON CROSS ROAD,MedAccess,NA
PENTICTON,-119.5902773,49.4963342,465 ELLIS STREET,MedAccess,NA
NANAIMO,-123.9439826,49.1685487,512 CAMPBELL STREET,Launchpad,NA
PENTICTON,-119.5902773,49.4963342,465 ELLIS STREET,MedAccess,NA
KELOWNA,-119.4918021,49.8608417,204 - 3140 LAKESHORE ROAD,Osler,NA
CHILLIWACK,-121.9578967,49.1360224,104 - 45744 GAETZ STREET,Oscar West,GAETZ STREET FAMILY MEDICINE
DAWSON CREEK,-120.2327642,55.7582525,1113 103RD AVENUE,Launchpad,NA
BURNABY,-123.0158079,49.2808069,200 - 4012 EAST HASTINGS STREET,Oscar,NORBURN MEDICAL CLINIC
VICTORIA,-123.3337976,48.4484534,150 - 3200 SHELBOURNE STREET,Wolf,SHELBOURNE MEDICAL CLINIC
MILL BAY,-123.5585109,48.6513996,230 - 2720 MILL BAY ROAD,MedAccess,MILL BAY MEDICAL CLINIC
CHILLIWACK,-121.9638335,49.166828,45600 MENHOLM ROAD,Oscar Nerd,CHILLIWACK GENERAL HOSPITAL
SUMMERLAND,-119.6812158,49.6022788,13214 KELLY AVENUE,MedAccess,KELLY AVENUE MEDICAL CLINIC
VICTORIA,-123.3228272,48.4324038,201 - 1990 FORT STREET,Accuro,TRANSPLANT FILE
VERNON,-119.2775394,50.2624892,3 - 2802 34TH STREET,Launchpad,NORTH OKANAGAN PAEDIATRIC CLINIC
COMOX,-124.9230016,49.6720753,100 - 1695 COMOX AVENUE,Wolf,COMOX MEDICAL CLINIC
VICTORIA,-123.3391529,48.4259794,1520 FORT STREET,IntraHealth,PACIFIC HEMATOLOGY
DUNCAN,-123.7081361,48.7857933,201-2763 BEVERLY STREET,MedAccess,BEVERLY MEDICAL CLINIC
VERNON,-119.2739928,50.2842468,204- 5100 ANDERSON WAY,MedAccess,BX MEDICAL
VICTORIA,-123.4264531,48.4475028,205 - 1497 ADMIRALS ROAD,Oscar Nerd,GROW CLINIC
VICTORIA,-123.3731002,48.4544042,301 - 3491 SAANICH ROAD,MedAccess,SAANICH MEDICAL CENTRE
SURREY,-122.8034027,49.1046774,105-15153 HIGHWAY 10,Oscar Nerd,COMMUNITY BIRTH PROGRAM
VICTORIA,-123.3538831,48.4221912,101-1005 COOK ST,Launchpad,COOK ST COMMUNITY MIDWIVES
PORT COQUITLAM,-122.778575,49.2631852,101 - 2255 ELGIN AVENUE,MedAccess,ELGIN MEDICAL CLINIC
VICTORIA,-123.3576434,48.455102,3461 COOK STREET,Oscar West,COOK & QUADRA MEDICAL CLINIC
VANCOUVER,-123.1226675,49.2731876,1296 PACIFIC BOULEVARD,Intrahealth,YALETOWN MEDICAL CLINIC
NORTH VANCOUVER,-123.0725123,49.3184531,300 - 1133 LONSDALE AVENUE,IntraHealth,NA
NANAIMO,-124.0462094,49.233553,6475 METRAL DRIVE- 3RD FLR,Launchpad,CENTRAL VANCOUVER ISLAND HEALTH
QUALICUM BEACH,-124.4456315,49.3461809,173 FERN ROAD WEST,Wolf,NA
MAPLE RIDGE,-122.6073795,49.2208137,B - 22195 DEWDNEY TRUNK ROAD,IntraHealth,NA
VANCOUVER,-123.1409998,49.207388,8675 GRANVILLE STREET,MedAccess,NA
VERNON,-119.2749533,50.260264,303 - 3210 25TH AVENUE,Accuro,NOW HEALTH
RICHMOND,-123.1483045,49.1697558,208 - 6051 GILBERT ROAD,Wolf,NA
VICTORIA,-123.3491162,48.415768,1282 FAIRFIELD ROAD,IntraHealth,MOSS ROCK MEDICAL CENTRE
COQUITLAM,-122.7934129,49.2735462,142 - 3000 LOUGHEED HWY,Oscar Nerd,TRI-CITY FAMILY PRACTICE
NORTH VANCOUVER,-123.070512,49.3196669,501 - 145 EAST 13TH STREET,Osler,NA
NORTH VANCOUVER,-123.072296,49.3230612,201-101 16TH STREET WEST,Plexia,NA
PRINCE GEORGE,-122.7589713,53.9085495,101 - 1668 TAMARACK STREET,Launchpad,NA
VICTORIA,-123.3302199,48.4305343,302 - 2020 RICHMOND AVENUE,Plexia,NA
VICTORIA,-123.3123953,48.4635137,PO BOX 1700 STN CSC,Accuro,UVIC HEALTH SERVICES
VANCOUVER,-123.0320626,49.2374947,3425 CROWLEY DRIVE,Intrahealth VCH,BRIDGE COMMUNITY HEALTH CLINIC
VANCOUVER,-123.1398271,49.2694373,517 - 1540 WEST 2ND AVENUE,Launchpad,PACIFIC MIDWIFERY
NORTH VANCOUVER,-123.070512,49.3196669,704 - 145 EAST 13TH STREET,Osler,NA
VERNON,-119.2784358,50.2655593,3411 32ND AVENUE,Osler,NA
DUNCAN,-123.7108344,48.7795251,335 JUBILEE STREET,MedAccess,VALLEY MEDICAL CLINIC
COMOX,-124.9014145,49.7164864,BOX 1000 STATION MAIN 21CF,Launchpad,HEALTH SERVICES CENTRE
